Rk,Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
69,1954,PCC,8,4,0,0.667,6,1,0,0.857,13.22,7.14,17,7,17,Jess Hill (8-4),Rose Bowl-L,
70,1953,PCC,6,3,1,0.65,4,2,1,0.643,11.06,7.26,8,7,,Jess Hill (6-3-1),,
71,1952,PCC,10,1,0,0.909,6,0,0,1,24.06,8.69,16,2,5,Jess Hill (10-1),Rose Bowl-W,
72,1951,PCC,7,3,0,0.7,4,2,0,0.667,14.13,8.53,,6,,Jess Hill (7-3),,
73,1950,PCC,2,5,2,0.333,1,3,2,0.333,2.06,7.61,12,12,,Jeff Cravath (2-5-2),,
74,1949,PCC,5,3,1,0.611,4,2,0,0.667,20.47,15.59,,8,,Jeff Cravath (5-3-1),,
75,1948,PCC,6,3,1,0.65,4,2,0,0.667,15.39,10.39,,,,Jeff Cravath (6-3-1),,
76,1947,PCC,7,2,1,0.75,6,0,0,1,20.68,12.18,,3,8,Jeff Cravath (7-2-1),Rose Bowl-L,
77,1946,PCC,6,4,0,0.6,5,2,0,0.714,9.03,6.13,,10,,Jeff Cravath (6-4),,
78,1945,PCC,7,4,0,0.636,5,1,0,0.833,-1.28,-3.82,,6,11,Jeff Cravath (7-4),Rose Bowl-L,
79,1944,PCC,8,0,2,0.9,3,0,2,0.8,10.17,-4.43,,7,7,Jeff Cravath (8-0-2),Rose Bowl-W,
80,1943,PCC,8,2,0,0.8,4,0,0,1,2.83,-6.17,,4,,Jeff Cravath (8-2),Rose Bowl-W,
81,1942,PCC,5,5,1,0.5,4,2,1,0.643,7.41,5.05,,14,,Jeff Cravath (5-5-1),,
82,1941,PCC,2,6,1,0.278,2,4,1,0.357,7.78,15.01,,,,Sam Barry (2-6-1),,
83,1940,PCC,3,4,2,0.444,2,3,2,0.429,7.69,9.02,,17,,Howard Jones (3-4-2),,
84,1939,PCC,8,0,2,0.9,5,0,2,0.857,17,3.3,,1,3,Howard Jones (8-0-2),Rose Bowl-W,
85,1938,PCC,9,2,0,0.818,6,1,0,0.857,18.35,9.8,,7,7,Howard Jones (9-2),Rose Bowl-W,
86,1937,PCC,4,4,2,0.5,2,3,2,0.429,7.64,5.34,,11,,Howard Jones (4-4-2),,
87,1936,PCC,4,2,3,0.611,3,2,2,0.571,13.26,7.26,,6,,Howard Jones (4-2-3),,
88,1935,PCC,5,7,0,0.417,2,4,0,0.333,4.79,3.87,,,,Howard Jones (5-7),,
89,1934,PCC,4,6,1,0.409,1,4,1,0.25,3.24,3.42,,,,Howard Jones (4-6-1),,
90,1933,PCC,10,1,1,0.875,4,1,1,0.75,19.91,5.66,,,,Howard Jones (10-1-1),,
