Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes,Team
1968,Pac-8,3,7,0.0,0.3,2,4,0,0.33299999999999996,0.43,8.23,16.0,8.0,,Tommy Prothro (3-7),,,UCLA
1967,AAWU,7,2,1.0,0.75,4,1,1,0.75,16.46,7.36,8.0,1.0,,Tommy Prothro (7-2-1),,,UCLA
1966,AAWU,9,1,0.0,0.9,3,1,0,0.75,15.64,3.24,4.0,2.0,5.0,Tommy Prothro (9-1),,,UCLA
1965,AAWU,8,2,1.0,0.773,4,0,0,1.0,21.11,14.56,,4.0,4.0,Tommy Prothro (8-2-1),Rose Bowl-W,,UCLA
1964,AAWU,4,6,0.0,0.4,2,2,0,0.5,4.83,12.43,,,,Bill Barnes (4-6),,,UCLA
1963,AAWU,2,8,0.0,0.2,2,2,0,0.5,-0.42,11.38,,,,Bill Barnes (2-8),,,UCLA
1962,AAWU,4,6,0.0,0.4,1,3,0,0.25,3.05,4.85,,,,Bill Barnes (4-6),,,UCLA
1961,AAWU,7,4,0.0,0.636,3,1,0,0.75,7.9,3.9,,9.0,,Bill Barnes (7-4),Rose Bowl-L,,UCLA
1960,AAWU,7,2,1.0,0.75,2,2,0,0.5,13.21,4.41,,8.0,,Bill Barnes (7-2-1),,,UCLA
1959,AAWU,5,4,1.0,0.55,3,1,0,0.75,7.57,7.37,,17.0,,Bill Barnes (5-4-1),,,UCLA
1958,PCC,3,6,1.0,0.35,2,4,1,0.35700000000000004,0.95,4.95,,,,George Dickerson (1-2) Bill Barnes (2-4-1),,,UCLA
1957,PCC,8,2,0.0,0.8,5,2,0,0.7140000000000001,12.1,3.8,,15.0,,Red Sanders (8-2),,,UCLA
1956,PCC,7,3,0.0,0.7,5,2,0,0.7140000000000001,10.99,7.59,17.0,17.0,,Red Sanders (7-3),,,UCLA
1955,PCC,9,2,0.0,0.818,6,0,0,1.0,23.59,10.14,1.0,1.0,4.0,Red Sanders (9-2),Rose Bowl-L,,UCLA
1954,PCC,9,0,0.0,1.0,6,0,0,1.0,19.95,0.06,8.0,1.0,2.0,Red Sanders (9-0),,,UCLA
1953,PCC,8,2,0.0,0.8,6,1,0,0.857,18.17,6.97,4.0,4.0,5.0,Red Sanders (8-2),Rose Bowl-L,,UCLA
1952,PCC,8,1,0.0,0.889,5,1,0,0.833,23.88,9.88,18.0,3.0,6.0,Red Sanders (8-1),,,UCLA
1951,PCC,5,3,1.0,0.611,4,1,1,0.75,16.05,10.71,,15.0,17.0,Red Sanders (5-3-1),,,UCLA
1950,PCC,6,3,0.0,0.667,5,2,0,0.7140000000000001,14.68,7.13,,13.0,,Red Sanders (6-3),,,UCLA
1949,PCC,6,3,0.0,0.667,5,2,0,0.7140000000000001,17.06,12.73,,13.0,,Red Sanders (6-3),,,UCLA
1948,PCC,3,7,0.0,0.3,2,6,0,0.25,-0.81,6.69,,,,Bert LaBrucherie (3-7),,,UCLA
1947,PCC,5,4,0.0,0.556,4,2,0,0.667,17.68,9.68,,16.0,,Bert LaBrucherie (5-4),,,UCLA
1946,PCC,10,1,0.0,0.909,7,0,0,1.0,15.59,0.86,,4.0,4.0,Bert LaBrucherie (10-1),Rose Bowl-L,,UCLA
1945,PCC,5,4,0.0,0.556,2,3,0,0.4,-2.96,-6.4,,12.0,,Bert LaBrucherie (5-4),,,UCLA
1944,PCC,4,5,1.0,0.45,1,2,1,0.375,-2.97,-2.87,,,,Babe Horrell (4-5-1),,,UCLA
1943,PCC,1,8,0.0,0.111,0,4,0,0.0,-13.42,-0.09,,,,Babe Horrell (1-8),,,UCLA
1942,PCC,7,4,0.0,0.636,6,1,0,0.857,10.6,4.23,,10.0,13.0,Babe Horrell (7-4),Rose Bowl-L,,UCLA
1941,PCC,5,5,1.0,0.5,3,4,1,0.43799999999999994,5.91,9.18,,,,Babe Horrell (5-5-1),,,UCLA
1940,PCC,1,9,0.0,0.1,1,6,0,0.14300000000000002,3.09,12.29,,,,Babe Horrell (1-9),,,UCLA
1939,PCC,6,0,4.0,0.8,5,0,3,0.813,8.08,1.28,,7.0,7.0,Babe Horrell (6-0-4),,,UCLA
1938,PCC,7,4,1.0,0.625,4,3,1,0.563,10.17,3.0,,,,William Spaulding (7-4-1),,,UCLA
1937,PCC,2,6,1.0,0.278,1,5,1,0.214,0.8,5.8,,,,William Spaulding (2-6-1),,,UCLA
1936,PCC,6,3,1.0,0.65,4,3,1,0.563,7.47,2.97,,,,William Spaulding (6-3-1),,,UCLA
1935,PCC,8,2,0.0,0.8,4,1,0,0.8,13.31,6.31,,,,William Spaulding (8-2),,,UCLA
1934,PCC,7,3,0.0,0.7,2,3,0,0.4,4.89,-0.31,,,,William Spaulding (7-3),,,UCLA
1933,PCC,6,4,1.0,0.591,1,3,1,0.3,7.57,2.75,,,,William Spaulding (6-4-1),,,UCLA
1932,PCC,6,4,0.0,0.6,4,2,0,0.667,7.67,2.67,,,,William Spaulding (6-4),,,UCLA
1931,PCC,3,4,1.0,0.43799999999999994,0,3,0,0.0,4.51,4.13,,,,William Spaulding (3-4-1),,,UCLA
1930,PCC,3,5,0.0,0.375,1,4,0,0.2,-0.47,2.78,,,,William Spaulding (3-5),,,UCLA
1929,PCC,4,4,0.0,0.5,1,3,0,0.25,-3.55,-1.8,,,,William Spaulding (4-4),,,UCLA
1928,PCC,4,4,1.0,0.5,0,4,0,0.0,-2.45,-3.45,,,,William Spaulding (4-4-1),,,UCLA
2022,Pac-12,5,0,,1.0,3,0,0,1.0,17.37,0.37,14.0,6.0,,Lincoln Riley (5-0),,,USC
2021,Pac-12,4,8,0.0,0.33299999999999996,3,6,0,0.33299999999999996,-1.7,1.8,15.0,14.0,,Clay Helton (1-1) Donte Williams (3-7),,,USC
2020,Pac-12,5,1,0.0,0.833,5,0,0,1.0,5.32,-3.68,17.0,13.0,21.0,Clay Helton (5-1),,,USC
2019,Pac-12,8,5,0.0,0.615,7,2,0,0.778,8.87,5.64,,21.0,,Clay Helton (8-5),Holiday Bowl-L,,USC
2018,Pac-12,5,7,0.0,0.41700000000000004,4,5,0,0.444,2.22,3.39,15.0,15.0,,Clay Helton (5-7),,,USC
2017,Pac-12,11,3,0.0,0.7859999999999999,8,1,0,0.889,12.37,5.09,4.0,4.0,12.0,Clay Helton (11-3),Cotton Bowl-L,,USC
2016,Pac-12,10,3,0.0,0.769,7,2,0,0.778,17.27,7.04,20.0,3.0,3.0,Clay Helton (10-3),Rose Bowl-W,,USC
2015,Pac-12,8,6,0.0,0.5710000000000001,6,3,0,0.667,11.53,7.39,8.0,6.0,,Steve Sarkisian (3-2) Clay Helton (5-4),Holiday Bowl-L,,USC
2015,Pac-12,8,6,0.0,0.5710000000000001,6,3,0,0.667,11.53,7.39,8.0,6.0,,Steve Sarkisian (3-2) Clay Helton (5-4),Holiday Bowl-L,,USC
2014,Pac-12,9,4,0.0,0.6920000000000001,6,3,0,0.667,14.39,5.93,15.0,9.0,20.0,Steve Sarkisian (9-4),Holiday Bowl-W,,USC
2013,Pac-12,10,4,0.0,0.7140000000000001,6,3,0,0.667,13.72,6.22,24.0,19.0,19.0,Lane Kiffin (3-2) Ed Orgeron (6-2) Clay Helton (1-0),Las Vegas Bowl-W,,USC
2012,Pac-12,7,6,0.0,0.5379999999999999,5,4,0,0.556,10.53,5.76,1.0,1.0,,Lane Kiffin (7-6),Sun Bowl-L,,USC
2011,Pac-12,10,2,0.0,0.833,7,2,0,0.778,14.16,3.49,25.0,5.0,6.0,Lane Kiffin (10-2),,,USC
2010,Pac-10,8,5,0.0,0.615,5,4,0,0.556,9.57,6.41,14.0,14.0,,Lane Kiffin (8-5),,,USC
2009,Pac-10,9,4,0.0,0.6920000000000001,5,4,0,0.556,9.11,3.95,4.0,3.0,22.0,Pete Carroll (9-4),Emerald Bowl-W,,USC
2008,Pac-10,12,1,0.0,0.9229999999999999,8,1,0,0.889,22.24,3.86,3.0,1.0,3.0,Pete Carroll (12-1),Rose Bowl-W,,USC
2007,Pac-10,11,2,0.0,0.846,7,2,0,0.778,18.1,4.33,1.0,1.0,3.0,Pete Carroll (11-2),Rose Bowl-W,,USC
2006,Pac-10,11,2,0.0,0.846,7,2,0,0.778,20.36,7.9,6.0,2.0,4.0,Pete Carroll (11-2),Rose Bowl-W,,USC
2005,Pac-10,12,1,0.0,0.9229999999999999,8,0,0,1.0,24.57,6.8,1.0,1.0,2.0,Pete Carroll (12-1),Rose Bowl-L,record adjusted to 0-1-0 by NCAA,USC
2004,Pac-10,13,0,0.0,1.0,8,0,0,1.0,26.06,8.22,1.0,1.0,1.0,Pete Carroll (13-0),Orange Bowl-W,record adjusted to 11-0-0 by NCAA,USC
2003,Pac-10,12,1,0.0,0.9229999999999999,7,1,0,0.875,23.14,3.6,8.0,1.0,1.0,Pete Carroll (12-1),Rose Bowl-W,,USC
2002,Pac-10,11,2,0.0,0.846,7,1,0,0.875,24.19,9.49,20.0,4.0,4.0,Pete Carroll (11-2),Orange Bowl-W,,USC
2001,Pac-10,6,6,0.0,0.5,5,3,0,0.625,8.92,4.67,,,,Pete Carroll (6-6),Las Vegas Bowl-L,,USC
2000,Pac-10,5,7,0.0,0.41700000000000004,2,6,0,0.25,4.37,6.45,15.0,8.0,,Paul Hackett (5-7),,,USC
1999,Pac-10,6,6,0.0,0.5,3,5,0,0.375,4.62,1.95,19.0,16.0,,Paul Hackett (6-6),,,USC
1998,Pac-10,8,5,0.0,0.615,5,3,0,0.625,12.73,6.12,,18.0,,Paul Hackett (8-5),Sun Bowl-L,,USC
1997,Pac-10,6,5,0.0,0.545,4,4,0,0.5,10.22,8.76,22.0,22.0,,John Robinson (6-5),,,USC
1996,Pac-10,6,6,0.0,0.5,3,5,0,0.375,8.23,6.23,7.0,7.0,,John Robinson (6-6),,,USC
1995,Pac-10,9,2,1.0,0.792,6,1,1,0.813,11.47,1.64,7.0,5.0,12.0,John Robinson (9-2-1),Rose Bowl-W,,USC
1994,Pac-10,8,3,1.0,0.708,6,2,0,0.75,12.41,7.49,17.0,13.0,13.0,John Robinson (8-3-1),Cotton Bowl-W,,USC
1993,Pac-10,8,5,0.0,0.615,6,2,0,0.75,12.76,7.6,18.0,18.0,,John Robinson (8-5),Freedom Bowl-W,,USC
1992,Pac-10,6,5,1.0,0.542,5,3,0,0.625,10.94,9.86,,11.0,,Larry Smith (6-5-1),Freedom Bowl-L,,USC
1991,Pac-10,3,8,0.0,0.273,2,6,0,0.25,5.27,10.54,16.0,16.0,,Larry Smith (3-8),,,USC
1990,Pac-10,8,4,1.0,0.654,5,2,1,0.688,11.42,7.35,9.0,5.0,20.0,Larry Smith (8-4-1),Sun Bowl-L,,USC
1989,Pac-10,9,2,1.0,0.792,6,0,1,0.929,18.32,6.99,5.0,5.0,8.0,Larry Smith (9-2-1),Rose Bowl-W,,USC
1988,Pac-10,10,2,0.0,0.833,8,0,0,1.0,22.2,9.37,6.0,2.0,7.0,Larry Smith (10-2),Rose Bowl-L,,USC
1987,Pac-10,8,4,0.0,0.667,7,1,0,0.875,12.96,6.63,19.0,16.0,18.0,Larry Smith (8-4),Rose Bowl-L,,USC
1986,Pac-10,7,5,0.0,0.583,5,3,0,0.625,12.45,10.62,,9.0,,Ted Tollner (7-5),Citrus Bowl-L,,USC
1985,Pac-10,6,6,0.0,0.5,5,3,0,0.625,6.62,6.12,6.0,3.0,,Ted Tollner (6-6),Aloha Bowl-L,,USC
1984,Pac-10,9,3,0.0,0.75,7,1,0,0.875,9.39,4.97,,7.0,10.0,Ted Tollner (9-3),Rose Bowl-W,,USC
1983,Pac-10,4,6,1.0,0.409,4,3,0,0.5710000000000001,2.05,4.68,8.0,8.0,,Ted Tollner (4-6-1),,,USC
1982,Pac-10,8,3,0.0,0.727,5,2,0,0.7140000000000001,21.05,10.42,10.0,10.0,15.0,John Robinson (8-3),,,USC
1981,Pac-10,9,3,0.0,0.75,5,2,0,0.7140000000000001,15.17,6.25,5.0,1.0,14.0,John Robinson (9-3),Fiesta Bowl-L,,USC
1980,Pac-10,8,2,1.0,0.773,4,2,1,0.643,19.82,10.19,4.0,2.0,11.0,John Robinson (8-2-1),,,USC
1979,Pac-10,11,0,1.0,0.958,6,0,1,0.929,23.95,8.62,1.0,1.0,2.0,John Robinson (11-0-1),Rose Bowl-W,,USC
1978,Pac-10,12,1,0.0,0.9229999999999999,6,1,0,0.857,25.51,13.2,9.0,2.0,2.0,John Robinson (12-1),Rose Bowl-W,,USC
1977,Pac-8,8,4,0.0,0.667,5,2,0,0.7140000000000001,16.95,9.95,4.0,1.0,13.0,John Robinson (8-4),Bluebonnet Bowl-W,,USC
1976,Pac-8,11,1,0.0,0.917,7,0,0,1.0,21.01,7.84,8.0,2.0,2.0,John Robinson (11-1),Rose Bowl-W,,USC
1975,Pac-8,8,4,0.0,0.667,3,4,0,0.429,13.5,6.08,5.0,3.0,17.0,John McKay (8-4),Liberty Bowl-W,,USC
1974,Pac-8,10,1,1.0,0.875,6,0,1,0.929,20.9,6.32,5.0,2.0,2.0,John McKay (10-1-1),Rose Bowl-W,,USC
1973,Pac-8,9,2,1.0,0.792,7,0,0,1.0,19.64,10.14,1.0,1.0,8.0,John McKay (9-2-1),Rose Bowl-L,,USC
1972,Pac-8,12,0,0.0,1.0,7,0,0,1.0,30.33,9.08,8.0,1.0,1.0,John McKay (12-0),Rose Bowl-W,,USC
1971,Pac-8,6,4,1.0,0.591,3,2,1,0.583,16.63,11.08,5.0,5.0,20.0,John McKay (6-4-1),,,USC
1970,Pac-8,6,4,1.0,0.591,3,4,0,0.429,19.6,13.96,3.0,3.0,15.0,John McKay (6-4-1),,,USC
1969,Pac-8,10,0,1.0,0.955,6,0,0,1.0,21.93,10.38,5.0,3.0,3.0,John McKay (10-0-1),Rose Bowl-W,,USC
1968,Pac-8,9,1,1.0,0.8640000000000001,6,0,0,1.0,16.62,7.8,2.0,1.0,4.0,John McKay (9-1-1),Rose Bowl-L,,USC
1967,AAWU,10,1,0.0,0.909,6,1,0,0.857,20.33,6.88,7.0,1.0,1.0,John McKay (10-1),Rose Bowl-W,,USC
1966,AAWU,7,4,0.0,0.636,4,1,0,0.8,15.55,8.64,9.0,5.0,,John McKay (7-4),Rose Bowl-L,,USC
1965,AAWU,7,2,1.0,0.75,4,1,0,0.8,20.65,9.05,7.0,4.0,10.0,John McKay (7-2-1),,,USC
1964,AAWU,7,3,0.0,0.7,3,1,0,0.75,17.84,10.14,,2.0,10.0,John McKay (7-3),,,USC
1963,AAWU,7,3,0.0,0.7,3,1,0,0.75,15.77,7.67,1.0,1.0,,John McKay (7-3),,,USC
1962,AAWU,11,0,0.0,1.0,4,0,0,1.0,23.29,8.66,,1.0,1.0,John McKay (11-0),Rose Bowl-W,,USC
1961,AAWU,4,5,1.0,0.45,2,1,1,0.625,1.41,3.61,,,,John McKay (4-5-1),,,USC
1960,AAWU,4,6,0.0,0.4,3,1,0,0.75,2.64,7.94,6.0,6.0,,John McKay (4-6),,,USC
1959,AAWU,8,2,0.0,0.8,3,1,0,0.75,14.86,5.06,,4.0,14.0,Don Clark (8-2),,,USC
1958,PCC,4,5,1.0,0.45,4,2,1,0.643,5.74,4.24,,,,Don Clark (4-5-1),,,USC
1957,PCC,1,9,0.0,0.1,1,6,0,0.14300000000000002,-3.07,8.63,19.0,19.0,,Don Clark (1-9),,,USC
1956,PCC,8,2,0.0,0.8,5,2,0,0.7140000000000001,14.67,5.47,15.0,6.0,18.0,Jess Hill (8-2),,,USC
1955,PCC,6,4,0.0,0.6,3,3,0,0.5,17.38,8.78,13.0,9.0,13.0,Jess Hill (6-4),,,USC
1954,PCC,8,4,0.0,0.667,6,1,0,0.857,13.22,7.14,17.0,7.0,17.0,Jess Hill (8-4),Rose Bowl-L,,USC
1953,PCC,6,3,1.0,0.65,4,2,1,0.643,11.06,7.26,8.0,7.0,,Jess Hill (6-3-1),,,USC
1952,PCC,10,1,0.0,0.909,6,0,0,1.0,24.06,8.69,16.0,2.0,5.0,Jess Hill (10-1),Rose Bowl-W,,USC
1951,PCC,7,3,0.0,0.7,4,2,0,0.667,14.13,8.53,,6.0,,Jess Hill (7-3),,,USC
1950,PCC,2,5,2.0,0.33299999999999996,1,3,2,0.33299999999999996,2.06,7.61,12.0,12.0,,Jeff Cravath (2-5-2),,,USC
1949,PCC,5,3,1.0,0.611,4,2,0,0.667,20.47,15.59,,8.0,,Jeff Cravath (5-3-1),,,USC
1948,PCC,6,3,1.0,0.65,4,2,0,0.667,15.39,10.39,,,,Jeff Cravath (6-3-1),,,USC
1947,PCC,7,2,1.0,0.75,6,0,0,1.0,20.68,12.18,,3.0,8.0,Jeff Cravath (7-2-1),Rose Bowl-L,,USC
1946,PCC,6,4,0.0,0.6,5,2,0,0.7140000000000001,9.03,6.13,,10.0,,Jeff Cravath (6-4),,,USC
